,Concurso,Data Sorteio,1º número do Sorteio 1,2º número do Sorteio 1,3º número do Sorteio 1,4º número do Sorteio 1,5º número do Sorteio 1,6º número do Sorteio 1,Arrecadação_Total,Ganhadores_Sena_Sorteio1,Cidade,Rateio_Sena_Sorteio1,Acumulado_Sena_Sorteio1,Valor_Acumulado_Sena_Sorteio1,Ganhadores_Quina_Sorteio1,Rateio_Quina_Sorteio1,Ganhadores_Quadra_Sorteio1,Rateio_Quadra_Sorteio1,Ganhadores_Terno_Sorteio1,Rateio_Terno_Sorteio1,1º número do Sorteio 2,2º número do Sorteio 2,3º número do Sorteio 2,4º número do Sorteio 2,5º número do Sorteio 2,6º número do Sorteio 2,Ganhadores_Sena_Sorteio2,Rateio_Sena_Sorteio2,Ganhadores_Quina_Sorteio2,Rateio_Quina_Sorteio2,Ganhadores_Quadra_Sorteio2,Rateio_Quadra_Sorteio2,Ganhadores_Terno_Sorteio2,Rateio_Terno_Sorteio2,Estimativa_Prêmio,Acumulado Especial de Páscoa
,1,06/11/2001,007,015,024,041,048,050,000,0,(),000,Sim,58851968,0,000,0,000,0,000,009,037,041,043,044,049,0,000,55,231759,1307,9716,0,000,000,000
,2,09/11/2001,004,009,011,032,038,042,000,0,(),000,Sim,86733646,0,000,0,000,0,000,009,013,019,024,029,046,0,000,35,265540,2014,4598,0,000,000,000
,3,13/11/2001,011,034,042,044,045,047,000,0,(),000,Sim,116469174,0,000,0,000,0,000,012,024,030,040,047,048,0,000,21,471993,1264,7813,0,000,000,000
,4,16/11/2001,029,038,043,044,046,050,000,0,(),000,Sim,142072793,0,000,0,000,0,000,002,007,011,044,046,049,0,000,8,1066817,1042,8159,0,000,000,000
,5,20/11/2001,007,012,016,025,032,040,000,0,(),000,Sim,172094960,0,000,0,000,0,000,003,010,012,019,026,049,0,000,34,294335,1804,5526,0,000,000,000
,6,23/11/2001,009,013,014,016,031,041,000,0,(),000,Sim,207056576,0,000,0,000,0,000,002,031,035,036,042,047,0,000,16,728367,1160,10009,0,000,000,000
,7,27/11/2001,006,009,017,023,024,032,000,0,(),000,Sim,243546045,0,000,0,000,0,000,005,008,028,030,032,045,0,000,35,347519,2040,5940,0,000,000,000
,8,30/11/2001,011,024,029,032,038,039,000,0,(),000,Sim,277014178,0,000,0,000,0,000,002,014,017,030,031,039,0,000,22,507093,1279,8689,0,000,000,000
,9,04/12/2001,010,018,022,037,042,044,000,1,([RS]),297972632,Não,000,0,000,0,000,0,000,010,026,031,037,042,046,0,000,17,821901,1300,10708,0,000,000,000
,10,07/12/2001,017,019,031,034,039,044,000,0,(),000,Sim,49627076,0,000,0,000,0,000,004,005,011,020,024,040,0,000,31,308265,1342,7094,0,000,000,000
,11,11/12/2001,002,004,008,027,036,043,000,0,(),000,Sim,77932259,0,000,0,000,0,000,005,008,017,040,043,045,0,000,12,786255,1159,8111,0,000,000,000
,12,14/12/2001,012,021,028,029,045,048,000,0,(),000,Sim,106849822,0,000,0,000,0,000,015,018,019,020,025,031,0,000,22,438145,1316,7298,0,000,000,000
,13,18/12/2001,001,003,031,033,037,046,000,0,(),000,Sim,136657916,0,000,0,000,0,000,004,013,031,043,047,049,0,000,26,382155,1503,6586,0,000,000,000
,14,21/12/2001,006,007,033,038,039,047,000,0,(),000,Sim,166979479,0,000,0,000,0,000,005,012,014,016,019,026,0,000,36,280755,2196,4586,0,000,000,000
,15,28/12/2001,004,030,032,040,043,044,000,0,(),000,Sim,208212200,0,000,0,000,0,000,007,013,020,023,028,034,0,000,35,392693,2057,6657,0,000,000,000
,16,04/01/2002,019,021,025,026,041,046,000,0,(),000,Sim,231905608,0,000,0,000,0,000,005,006,022,027,031,038,1,23693409,28,564129,1927,8166,0,000,000,000
,17,08/01/2002,003,005,014,043,044,047,000,0,(),000,Sim,267326376,0,000,0,000,0,000,001,002,027,036,037,043,0,000,14,843352,1337,8798,0,000,000,000
,18,11/01/2002,015,027,028,035,041,050,000,0,(),000,Sim,306090889,0,000,0,000,0,000,001,013,014,022,023,038,0,000,17,760088,1485,8668,0,000,000,000
,19,15/01/2002,005,010,019,025,033,034,000,0,(),000,Sim,346093490,0,000,0,000,0,000,015,024,027,032,039,047,0,000,62,215068,2252,5899,0,000,000,000
,20,18/01/2002,007,013,016,026,045,049,000,0,(),000,Sim,386719194,0,000,0,000,0,000,018,025,039,043,047,048,0,000,40,338548,2245,6010,0,000,000,000
,21,22/01/2002,006,014,017,030,037,044,000,0,(),000,Sim,424592586,0,000,0,000,0,000,006,009,014,020,024,026,0,000,24,526020,1767,7118,0,000,000,000
,22,25/01/2002,002,017,027,029,034,042,000,1,([PR]),443162773,Não,000,0,000,0,000,0,000,007,013,028,034,042,043,0,000,57,217195,2962,4164,0,000,000,000
,23,29/01/2002,008,009,010,011,022,042,000,0,(),000,Sim,41870844,0,000,0,000,0,000,004,007,008,020,034,037,0,000,17,456876,1059,7307,0,000,000,000
,24,01/02/2002,019,024,025,026,042,044,000,1,([SP]),54193600,Não,000,0,000,0,000,0,000,001,006,011,015,016,036,0,000,28,293399,1216,6731,0,000,000,000
,25,05/02/2002,006,015,030,035,042,046,000,0,(),000,Sim,34071435,0,000,0,000,0,000,019,023,024,033,041,044,0,000,19,381556,1091,6620,0,000,000,000
,26,08/02/2002,002,004,008,017,023,038,000,0,(),000,Sim,59832147,0,000,0,000,0,000,004,019,026,039,048,049,0,000,9,954100,1143,7485,0,000,000,000
,27,15/02/2002,005,007,019,029,032,035,000,0,(),000,Sim,88926676,0,000,0,000,0,000,003,028,037,042,044,047,0,000,20,484909,1344,7189,0,000,000,000
,28,19/02/2002,001,010,013,022,026,038,000,0,(),000,Sim,112300064,0,000,0,000,0,000,027,030,031,034,040,049,0,000,7,1113019,607,12788,0,000,000,000
,29,22/02/2002,001,012,019,023,039,050,000,0,(),000,Sim,137428170,0,000,0,000,0,000,016,025,035,041,045,047,0,000,11,761458,928,8992,0,000,000,000
,30,26/02/2002,008,018,021,033,036,046,000,0,(),000,Sim,161617324,0,000,0,000,0,000,003,005,013,015,028,043,0,000,27,298632,1775,4526,0,000,000,000
,31,01/03/2002,005,019,020,029,032,043,000,0,(),000,Sim,187839441,0,000,0,000,0,000,031,035,036,046,047,049,0,000,19,460037,758,11489,0,000,000,000
,32,05/03/2002,018,020,024,030,039,047,000,0,(),000,Sim,213551141,0,000,0,000,0,000,006,012,014,025,026,039,0,000,27,317429,1416,6030,0,000,000,000
,33,08/03/2002,011,016,017,019,024,032,000,0,(),000,Sim,241436517,0,000,0,000,0,000,013,021,022,025,033,049,0,000,21,442625,1443,6418,0,000,000,000
