,Concurso,Data Sorteio,1º Bilhete,Valor do Primeiro Prêmio,2º Bilhete,Valor do Segundo Prêmio,3º Bilhete,Valor do Terceiro Prêmio,4º Bilhete,Valor do Quarto Prêmio,5º Bilhete,Valor do Quinto Prêmio
,1,15/09/1962,005349,20000000,038031,800000,026492,500000,025151,400000,001416,200000
,2,22/09/1962,003334,20000000,034714,800000,020967,500000,036468,400000,018452,200000
,3,29/09/1962,027793,20000000,015637,800000,011505,500000,014184,400000,025711,200000
,4,03/10/1962,010896,20000000,037354,800000,038461,500000,001951,400000,033569,200000
,5,06/10/1962,023972,20000000,033280,800000,003664,500000,034058,400000,003746,200000
,6,10/10/1962,000934,20000000,015267,800000,003690,500000,024257,400000,032504,200000
,7,13/10/1962,001314,20000000,010660,800000,001472,500000,007130,400000,000810,200000
,8,17/10/1962,021096,20000000,001329,800000,025331,500000,016235,400000,003141,200000
,9,20/10/1962,005728,20000000,020382,800000,032260,500000,028491,400000,027274,200000
,10,24/10/1962,000338,20000000,037703,800000,012749,500000,001370,400000,037915,200000
,11,27/10/1962,033264,20000000,036070,800000,034611,500000,027023,400000,030637,200000
,12,31/10/1962,007058,20000000,018897,800000,034444,500000,006478,400000,000962,200000
,13,07/11/1962,035275,20000000,003129,800000,029176,500000,031921,400000,005842,200000
,14,10/11/1962,033932,20000000,025282,800000,004715,500000,003408,400000,038803,200000
,15,14/11/1962,000809,20000000,005041,800000,011942,500000,039510,400000,029207,200000
,16,17/11/1962,036536,20000000,005752,800000,016035,500000,009775,400000,019175,200000
,17,21/11/1962,025913,20000000,012173,800000,021454,500000,011363,400000,015010,200000
,18,24/11/1962,017716,20000000,007891,800000,026139,500000,007792,400000,025301,200000
,19,28/11/1962,030407,20000000,033594,800000,033789,500000,016677,400000,013565,200000
,20,01/12/1962,034413,20000000,006267,800000,032363,500000,031339,400000,036524,200000
,21,05/12/1962,019859,20000000,031796,800000,037438,500000,020456,400000,017238,200000
,22,12/12/1962,036637,20000000,010284,800000,003185,500000,024896,400000,032613,200000
,23,15/12/1962,030122,20000000,005169,800000,017548,500000,029570,400000,039424,200000
,24,19/12/1962,009471,20000000,023336,800000,031604,500000,010592,400000,034373,200000
,25,22/12/1962,003457,20000000,022079,800000,028594,500000,023094,400000,011338,200000
,26,26/12/1962,021865,20000000,021867,800000,011972,500000,023785,400000,008465,200000
,27,29/12/1962,006195,20000000,027828,800000,027049,500000,007637,400000,015744,200000
,28,02/01/1963,029063,20000000,005673,800000,015479,500000,022347,400000,036597,200000
,29,05/01/1963,026584,20000000,002662,800000,033566,500000,032094,400000,021243,200000
,30,09/01/1963,025793,20000000,013312,800000,033039,500000,000540,400000,039415,200000
,31,12/01/1963,026801,20000000,019425,800000,029537,500000,022547,400000,005724,200000
,32,16/01/1963,010689,20000000,019533,800000,002491,500000,031211,400000,036298,200000
,33,19/01/1963,002393,20000000,032420,800000,032302,500000,039410,400000,001715,200000
,34,23/01/1963,028914,20000000,012584,800000,004401,500000,020964,400000,012314,200000
,35,26/01/1963,019446,20000000,001617,800000,012544,500000,013817,400000,020328,200000
,36,30/01/1963,028620,20000000,000974,800000,038939,500000,037438,400000,004048,200000
,37,02/02/1963,030578,20000000,022930,800000,028938,500000,032794,400000,012281,200000
,38,06/02/1963,028838,20000000,032397,800000,013531,500000,033138,400000,039267,200000
