,Concurso,Data_Sorteio,Ganhadores_14_Acertos,Cidade,Valor_Rateio_14_Acertos,Acumulado,Valor_Acumulado_14_Acertos,Ganhadores_13_Acertos,Valor_Rateio_13_Acertos,Ganhadores_12_Acertos,Valor_Rateio_12_Acertos,Jogo_1,Jogo_2,Jogo_3,Jogo_4,Jogo_5,Jogo_6,Jogo_7,Jogo_8,Jogo_9,Jogo_10,Jogo_11,Jogo_12,Jogo_13,Jogo_14,Arrecadação_Total,Estimativa_Prêmio
,1,18/02/2002,2,([BA][SP]),5598599,Não,000,44,254481,1028,14468,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,000,000
,2,25/02/2002,135,([AL][BA][DF][GO][MG][MS][PA][PE][PI][PR][RJ][RN][RS][SC][SP]),104879,Não,000,4737,2977,45997,584,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,000,000
,3,04/03/2002,2,([RJ][SP]),6615485,Não,000,94,140755,1668,10536,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,000,000
,4,11/03/2002,223,([AL][BA][CE][DF][ES][GO][MG][MS][MT][PA][PB][PE][PI][PR][RJ][RO][RS][SC][SE][SP][TO]),54772,Não,000,4834,2527,39153,594,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,000,000
,5,18/03/2002,0,(),000,Sim,12745218,1,12745218,14,1213830,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,000,000
,6,25/03/2002,3,([BA][RS][SP]),8147416,Não,000,54,216611,710,21883,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,000,000
,7,01/04/2002,2,([GO][MG]),5395484,Não,000,126,85642,2354,6089,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,000,000
,8,08/04/2002,5,([BA][RJ][RS][SP]),2198768,Não,000,96,114519,1738,8402,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,000,13000000
,9,18/04/2002,0,(),000,Sim,11820451,89,132814,1439,10911,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,000,000
,10,22/04/2002,0,(),000,Sim,20131072,33,251837,684,16138,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,000,000
