,Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadação_Total,Ganhadores_15_Números,Cidade,Ganhadores_14_Números,Ganhadores_13_Números,Ganhadores_12_Números,Ganhadores_11_Números,Valor_Rateio_15_Números,Valor_Rateio_14_Números,Valor_Rateio_13_Números,Valor_Rateio_12_Números,Valor_Rateio_11_Números,Acumulado_15_Números,Estimativa_Prêmio,Valor_Acumulado_Especial
,1,29/09/2003,002,003,005,006,009,010,011,013,014,016,018,020,023,024,025,000,5,([BA][PR][SP]),154,4645,48807,257593,4976582,68984,1000,400,200,000,000,000
,2,06/10/2003,001,004,005,006,007,009,011,012,013,015,016,019,020,023,024,000,1,([SP]),184,6232,81252,478188,59632370,138895,1000,400,200,000,000,000
,3,13/10/2003,001,004,006,007,008,009,010,011,012,014,016,017,020,023,024,000,2,([SP]),158,6897,96244,608211,40062370,217336,1000,400,200,000,000,000
,4,20/10/2003,001,002,004,005,008,010,012,013,016,017,018,019,023,024,025,000,1,([MT]),258,9569,123912,706657,90222602,149872,1000,400,200,000,000,000
,5,27/10/2003,001,002,004,008,009,011,012,013,015,016,019,020,023,024,025,000,2,([BA][MS]),472,14736,195636,860992,38001755,68749,1000,400,200,000,000,000
,6,03/11/2003,001,002,004,005,006,007,010,012,015,016,017,019,021,023,025,000,2,([RJ][RS]),393,14242,162320,888301,48914006,106683,1000,400,200,000,000,000
,7,10/11/2003,001,004,007,008,010,012,014,015,016,018,019,021,022,023,025,000,9,([BA][DF][GO][MG][RJ][RS][SP]),1333,25878,206828,967358,10462529,30159,1000,400,200,000,000,000
,8,17/11/2003,001,005,006,008,009,010,013,015,016,017,018,019,020,022,025,000,1,([BA]),256,11414,149037,926910,120195808,201221,1000,400,200,000,000,000
,9,24/11/2003,003,004,005,009,010,011,013,015,016,017,019,020,021,024,025,000,3,([PR][SP]),407,14973,213511,1104328,33605365,106160,1000,400,200,000,000,000
,10,01/12/2003,002,003,004,005,006,008,009,010,011,012,014,019,020,023,024,000,0,(),380,15767,207355,1186563,000,115708,1000,400,200,102594500,000,000
,11,08/12/2003,002,006,007,008,009,010,011,012,016,019,020,022,023,024,025,000,0,(),306,14249,216679,1343171,000,185582,1000,400,200,235100093,000,000
,12,15/12/2003,001,002,004,005,007,008,009,010,011,012,014,016,017,024,025,000,1,([GO]),631,24400,322557,1607584,349096618,77132,1000,400,200,000,000,000
,13,22/12/2003,003,005,006,007,008,009,010,011,013,014,015,016,017,019,023,000,3,([PR][RJ][SP]),714,27399,320961,1501354,26915725,48284,1000,400,200,000,000,000
,14,29/12/2003,001,002,005,006,007,009,013,014,015,018,019,020,021,023,025,000,3,([RS][SP]),444,15413,214582,1149506,41136289,119121,1000,400,200,000,000,000
,15,05/01/2004,001,002,004,006,008,010,012,015,016,018,019,021,023,024,025,000,22,([DF][ES][GO][MG][MT][PE][PR][RJ][SP]),2059,38038,379994,1198158,2752568,12558,1000,400,200,000,000,000
,16,12/01/2004,002,005,006,007,008,010,012,013,015,017,019,021,023,024,025,000,9,([AL][DF][MG][PR][RO][RS][SP]),1086,29005,329409,1471908,8393577,29698,1000,400,200,000,000,000
,17,19/01/2004,001,002,003,005,006,007,009,013,014,016,017,018,019,020,021,000,1,([SP]),320,14425,232740,1083387,142716994,191139,1000,400,200,000,000,000
,18,26/01/2004,002,006,007,008,010,011,014,015,017,018,019,020,022,023,024,000,3,([MT][RJ][TO]),309,12373,174339,1079894,48788761,203005,1000,400,200,000,000,000
,19,02/02/2004,002,005,006,007,008,010,011,013,014,015,016,017,020,023,024,000,10,([GO][MG][MT][PA][PI][RJ][SP]),818,23594,326913,1333412,8204005,42820,1000,400,200,000,000,000
,20,09/02/2004,003,004,006,007,008,009,010,014,016,017,018,019,020,023,024,000,9,([BA][MA][MG][MS][PA][PE][PR][SP]),931,19580,266087,1462294,12288204,50717,1000,400,200,000,000,000
,21,16/02/2004,001,002,004,005,008,011,014,016,018,019,020,022,023,024,025,000,3,([BA][GO][RJ]),316,13077,203475,1211951,53099023,216045,1000,400,200,000,000,000
,22,25/02/2004,001,002,003,004,005,006,007,009,010,012,013,014,015,022,025,000,1,([BA]),484,55372,152738,868693,108114989,95734,1000,400,200,000,000,000
,23,01/03/2004,001,003,004,005,006,008,010,011,012,014,016,017,018,019,020,000,1,([SE]),541,16248,215670,1187602,117845205,93355,1000,400,200,000,000,000
,24,08/03/2004,001,002,003,005,007,010,011,014,017,019,020,021,023,024,025,000,2,([RJ][RO]),585,22453,258724,1286374,66229589,97040,1000,400,200,000,000,000
,25,15/03/2004,001,002,003,004,005,006,007,009,013,014,016,020,022,023,024,000,0,(),417,16108,213231,1288117,000,143773,1000,400,200,139891067,000,000
,26,22/03/2004,005,007,008,009,010,011,013,014,016,017,019,020,021,022,023,000,3,([PE][SP]),602,22397,317722,1659205,97067617,107721,1000,400,200,000,000,000
,27,29/03/2004,003,006,008,010,011,012,013,014,015,018,020,021,022,024,025,000,2,([DF][SP]),466,15650,216827,1192912,81100539,149173,1000,400,200,000,000,000
,28,05/04/2004,001,003,007,009,010,011,012,013,014,016,017,018,019,020,021,000,2,([GO][MT]),556,22300,307113,1363336,53691665,82773,1000,400,200,000,000,000
,29,12/04/2004,001,004,005,006,008,009,013,014,016,017,019,020,021,022,024,000,5,([CE][MG][RJ][RS][SP]),456,14375,181147,1203109,31753881,149219,1000,400,200,000,000,000
,30,19/04/2004,001,002,003,004,006,007,008,011,014,017,019,020,021,022,023,000,2,([MG][SP]),345,13480,184916,1136035,81327134,202055,1000,400,200,000,000,000
,31,26/04/2004,001,002,003,004,009,013,014,015,017,019,020,021,022,024,025,000,3,([DF][ES][SP]),250,13005,189635,1161305,50345170,258918,1000,400,200,000,000,000
,32,03/05/2004,001,002,004,006,007,009,010,011,014,015,016,017,020,022,023,000,2,([BA][SP]),384,14060,199525,1175480,70663489,157731,1000,400,200,000,000,000
,33,10/05/2004,001,002,005,007,008,010,011,012,014,016,019,020,021,023,024,000,9,([BA][ES][GO][MA][PR][RJ][SE][SP]),1358,35450,328729,1417927,10917184,30891,1000,400,200,000,000,000
,34,17/05/2004,001,002,004,007,008,009,010,011,015,016,018,019,020,021,023,000,0,(),407,16589,216210,1359006,000,138120,1000,400,200,131167501,000,000
,35,24/05/2004,001,004,005,006,011,012,013,014,016,017,019,021,022,023,025,000,1,([RS]),291,12750,191524,1338198,315582004,271598,1000,400,200,000,000,000
,36,31/05/2004,001,004,005,007,008,010,011,014,017,019,020,021,022,023,024,000,6,([BA][DF][PE][PR][RS][SP]),1573,40526,453277,1414816,9282837,15118,1000,400,200,000,000,000
,37,07/06/2004,001,003,004,005,008,009,010,011,013,015,020,021,022,023,024,000,1,([MT]),283,11976,182815,1220504,137152832,207702,1000,400,200,000,000,000
,38,14/06/2004,001,002,003,006,007,008,009,010,013,014,015,016,022,024,025,000,0,(),298,12361,181763,1122407,000,224091,1000,400,200,155818250,000,000
,39,21/06/2004,002,007,008,009,011,013,014,015,017,018,019,021,022,023,024,000,3,([RJ][SP]),915,31607,352332,1626512,88800360,51600,1000,400,200,000,000,000
,40,28/06/2004,001,002,005,007,008,010,012,013,014,016,017,020,021,022,024,000,9,([BA][DF][MG][RS][SC][SP]),650,20792,266561,1331593,12946267,76533,1000,400,200,000,000,000
,41,05/07/2004,002,003,004,009,012,013,015,016,017,018,019,020,021,023,025,000,5,([DF][RS][SP]),431,16555,218669,1304019,28509161,141743,1000,400,200,000,000,000
,42,12/07/2004,001,003,004,005,006,008,011,012,014,015,017,021,022,024,025,000,1,([SP]),351,14288,205537,1065540,173143115,211408,1000,400,200,000,000,000
,43,19/07/2004,001,003,006,007,008,009,010,014,017,018,019,020,022,023,024,000,2,([MS]),448,31225,257520,1394077,55055379,105336,1000,400,200,000,000,000
,44,26/07/2004,003,004,005,006,010,011,012,013,014,018,019,021,023,024,025,000,0,(),334,12675,172526,1140441,000,205693,1000,400,200,160303694,000,000
,45,02/08/2004,001,002,003,005,007,009,014,016,017,018,019,021,023,024,025,000,4,([MG][PA][SP]),602,23232,353114,1591989,73152588,94191,1000,400,200,000,000,000
,46,09/08/2004,001,002,004,005,006,008,010,011,014,018,019,021,023,024,025,000,4,([DF][SP]),825,24898,340899,1460500,30854913,63871,1000,400,200,000,000,000
,47,16/08/2004,001,002,003,004,005,006,008,010,011,013,015,018,020,022,025,000,16,([BA][MT][PA][PE][PR][RJ][SE][SP]),933,25668,259783,1267303,9468543,69326,1000,400,200,000,000,000
,48,23/08/2004,002,005,006,007,011,013,015,016,017,018,019,020,021,022,023,000,2,([DF][GO]),331,13606,193466,1299636,77734331,201297,1000,400,200,000,000,000
,49,30/08/2004,002,004,005,006,008,011,013,015,016,019,020,021,022,023,024,000,0,(),673,22438,282506,1269761,000,80600,1000,400,200,126568265,000,000
,50,06/09/2004,001,002,003,006,007,009,010,011,012,013,019,020,021,023,025,000,1,([SP]),659,21583,298054,1545777,277608901,98227,1000,400,200,000,000,000
,51,13/09/2004,001,003,005,006,007,008,011,013,014,016,017,020,021,022,023,000,2,([GO][SP]),765,22722,302341,1520867,54522930,60858,1000,400,200,000,000,000
,52,20/09/2004,001,002,004,008,009,011,012,013,015,016,021,022,023,024,025,000,3,([MA][SC][SP]),420,24265,205595,1156747,53206525,162877,1000,400,200,000,000,000
,53,27/09/2004,001,002,003,006,007,009,011,012,014,017,018,019,020,023,024,000,4,([AM][RJ][SP]),564,19767,262234,1425498,26988795,82033,1000,400,200,000,000,000
,54,04/10/2004,002,004,005,006,007,008,009,012,014,016,018,020,021,022,024,000,27,([BA][ES][GO][MG][MS][MT][PA][PR][RJ][RO][RS][SP]),2269,40058,272073,1157000,4614984,23447,1000,400,200,000,000,000
,55,11/10/2004,002,003,004,005,006,007,008,009,012,013,015,016,018,019,025,000,6,([MA][RS][SP]),682,24083,253488,1334310,21317474,80376,1000,400,200,000,000,000
,56,18/10/2004,001,002,005,009,012,013,014,015,016,017,019,020,022,023,024,000,0,(),401,17323,225472,1396834,000,142728,1000,400,200,133546147,000,000
,57,25/10/2004,001,002,003,004,006,007,008,011,012,017,019,020,021,022,025,000,1,([MG]),571,33796,229355,1390034,327885727,145864,1000,400,200,000,000,000
,58,01/11/2004,003,004,005,006,011,012,013,014,015,016,017,018,019,020,022,000,6,([DF][MG][PR][RJ][SP]),559,17361,165098,1095964,29448282,135464,1000,400,200,000,000,000
,59,08/11/2004,001,003,005,006,007,008,010,011,013,014,015,019,020,023,025,000,2,([MG][SP]),662,27187,351810,1707263,43988444,56739,1000,400,200,000,000,000
,60,16/11/2004,001,002,003,004,005,008,011,016,017,018,019,022,023,024,025,000,3,([MG][PR][SP]),362,30873,165747,1022631,48555653,172455,1000,400,200,000,000,000
,61,22/11/2004,001,004,005,009,011,012,013,014,015,016,019,020,022,023,025,000,2,([ES][TO]),300,14553,253317,1311870,69801729,199434,1000,400,200,000,000,000
,62,29/11/2004,001,003,007,008,009,011,013,014,015,016,017,018,020,024,025,000,5,([GO][MT][PR][SP]),432,19513,234116,1336449,28208766,139925,1000,400,200,000,000,000
,63,06/12/2004,004,008,009,010,011,012,013,016,017,019,020,021,022,024,025,000,2,([GO][RJ]),379,15221,209528,1301392,87085642,196952,1000,400,200,000,000,000
,64,13/12/2004,001,002,003,006,007,008,009,010,013,014,017,018,020,023,025,000,4,([PA][RO][SP]),525,20308,280806,1586899,32345535,105618,1000,400,200,000,000,000
,65,20/12/2004,001,002,004,007,010,015,016,017,018,019,020,021,022,023,025,000,0,(),300,13067,218281,1147456,000,273519,1000,400,200,191463324,000,000
,66,27/12/2004,001,002,004,008,010,011,014,015,016,017,020,021,022,023,024,000,8,([BA][CE][MG][PR][SP]),834,25470,309390,1631513,43410549,80073,1000,400,200,000,000,000
,67,03/01/2005,005,007,008,009,010,011,012,013,015,016,020,021,022,023,024,000,4,([DF][PR][SP][TO]),294,12324,205063,1212285,39442973,229988,1000,400,200,000,000,000
,68,10/01/2005,001,002,003,005,006,007,008,009,010,012,016,017,022,023,025,000,2,([RS][SP]),368,14579,211030,1291340,85368974,198841,1000,400,200,000,000,000
,69,17/01/2005,001,004,007,008,009,010,011,015,017,018,019,020,021,023,024,000,4,([DF][RS][SC][SP]),619,34720,283047,1543014,29623316,82040,1000,400,200,000,000,000
,70,24/01/2005,001,002,003,005,006,009,010,012,014,015,016,019,020,024,025,000,6,([MG][PE][PR][RS][SP]),611,19413,230116,1265554,26432393,111242,1000,400,200,000,000,000
,71,31/01/2005,001,003,005,006,008,009,011,013,014,015,016,018,021,022,023,000,4,([GO][PE][RS][SP]),744,21490,276234,1289869,34918758,80458,1000,400,200,000,000,000
,72,09/02/2005,001,002,005,007,008,011,012,013,015,016,017,018,023,024,025,000,2,([RS][SP]),485,16561,198957,1178585,57166539,101031,1000,400,200,000,000,000
,73,14/02/2005,001,002,005,007,010,011,013,014,015,016,017,018,019,021,025,000,3,([PA][PR][SC]),401,16615,240646,1388168,40446166,129682,1000,400,200,000,000,000
,74,21/02/2005,001,002,003,004,005,006,008,011,013,015,016,018,022,023,025,000,7,([MS][MT][PR][SP]),861,36320,325482,1342101,16570435,57518,1000,400,200,000,000,000
,75,28/02/2005,001,003,004,005,006,007,008,010,011,013,015,016,017,020,025,000,2,([RJ][SC]),564,22764,330303,1538522,53126465,80739,1000,400,200,000,000,000
,76,07/03/2005,001,003,005,008,009,010,012,013,015,016,017,019,021,023,025,000,13,([BA][MG][PE][RJ][RS][SE][SP]),2705,63452,463129,1672037,4956681,10171,1000,400,200,000,000,000
,77,14/03/2005,002,003,004,006,008,009,011,014,017,018,020,021,022,024,025,000,4,([MG][PR][SP]),742,21609,228257,1213259,43483787,100463,1000,400,200,000,000,000
,78,21/03/2005,001,002,003,005,006,007,008,012,013,015,016,017,018,020,023,000,1,([PA]),643,23291,317982,1617133,100764494,66906,1000,400,200,000,000,000
,79,28/03/2005,001,002,003,005,009,012,014,015,017,018,020,022,023,024,025,000,1,([DF]),443,17526,230930,1249856,142978918,138322,1000,400,200,000,000,000
,80,04/04/2005,001,002,003,004,005,007,009,010,014,015,017,018,020,022,025,000,1,([RN]),502,19706,292151,1294632,138721992,118431,1000,400,200,000,000,000
,81,11/04/2005,001,002,003,004,005,006,007,010,011,013,015,016,017,019,021,000,6,([BA][PA][PI][RJ][SP]),866,29787,387171,1619963,16073467,47546,1000,400,200,000,000,000
,82,18/04/2005,001,004,005,006,008,009,012,013,015,017,018,019,020,022,023,000,4,([BA][MA][PR][SP]),636,20746,250768,1418972,37812877,101922,1000,400,200,000,000,000
,83,25/04/2005,001,002,003,005,006,008,010,011,012,013,014,020,023,024,025,000,3,([BA][MS][SP]),505,19766,290953,1615749,37070193,94379,1000,400,200,000,000,000
,84,02/05/2005,001,002,004,006,008,012,015,016,017,019,020,022,023,024,025,000,2,([RS][SP]),525,21813,263703,1419482,72919411,119052,1000,400,200,000,000,000
,85,09/05/2005,001,002,005,007,008,009,011,013,014,015,016,018,021,022,023,000,13,([BA][MG][MT][PR][RJ][SP]),988,41716,303054,1673514,8648860,48587,1000,400,200,000,000,000
,86,16/05/2005,002,004,005,006,008,009,012,013,014,017,018,019,023,024,025,000,14,([AM][CE][DF][MG][PA][SP]),1437,33924,344925,1583126,8106095,33718,1000,400,200,000,000,000
,87,23/05/2005,001,002,003,005,008,009,010,011,013,015,018,020,022,024,025,000,14,([DF][MG][PA][PR][SP]),1308,46044,353024,1711252,6291754,28752,1000,400,200,000,000,000
,88,30/05/2005,001,002,004,005,008,009,010,011,012,014,017,018,019,024,025,000,5,([DF][RJ][SC][SE][SP]),853,30153,318718,1383793,25701877,64322,1000,400,200,000,000,000
,89,06/06/2005,001,006,011,012,013,015,016,017,019,020,021,022,023,024,025,000,2,([RO][SP]),528,59274,230638,1266634,85814542,139310,1000,400,200,000,000,000
,90,13/06/2005,001,002,003,008,010,011,012,015,017,020,021,022,023,024,025,000,4,([MG][RJ][SP]),525,17979,236987,1539050,40038266,130737,1000,400,200,000,000,000
,91,20/06/2005,001,004,009,010,011,012,013,014,015,016,017,020,022,023,025,000,2,([AP][SP]),428,23937,203510,1341264,88083362,176402,1000,400,200,000,000,000
,92,27/06/2005,001,002,004,006,008,012,013,014,015,017,018,019,021,022,024,000,5,([MG][SC][SP]),714,22604,257642,1433995,29024668,87109,1000,400,200,000,000,000
,93,04/07/2005,002,004,005,006,007,009,010,013,017,018,019,020,021,023,024,000,6,([PE][SP][TO]),480,18433,230658,1352474,27148343,145437,1000,400,200,000,000,000
,94,11/07/2005,002,004,008,009,011,012,013,015,016,017,018,021,022,023,024,000,2,([RJ][SP]),573,29882,267884,1577059,69486130,103943,1000,400,200,000,000,000
,95,18/07/2005,001,002,003,004,005,010,011,012,014,015,017,018,019,020,022,000,2,([BA][DF]),401,20787,231813,1294859,88319951,188785,1000,400,200,000,000,000
,96,25/07/2005,003,004,006,009,010,012,014,016,017,018,019,021,022,023,024,000,1,([MT]),454,16790,220370,1209732,179319045,169275,1000,400,200,000,000,000
,97,02/08/2005,003,004,006,010,012,013,014,015,017,019,020,022,023,024,025,000,4,([BA][MG][SP]),539,19062,237912,1490877,37948548,120695,1000,400,200,000,000,000
,98,08/08/2005,001,002,005,006,008,010,011,015,017,018,020,022,023,024,025,000,5,([MG][RJ][TO]),1089,31800,376336,1625070,23813055,46680,1000,400,200,000,000,000
,99,15/08/2005,001,002,003,004,007,010,011,013,014,016,017,020,021,024,025,000,4,([ES][MG][RS][SE]),695,19351,227907,1278734,42489589,104805,1000,400,200,000,000,000
,100,22/08/2005,001,003,004,008,009,010,011,012,013,014,016,017,022,023,025,000,6,([BA][SE][SP]),547,39008,241845,1371980,25143856,118200,1000,400,200,000,000,000
,101,29/08/2005,001,003,006,007,009,010,013,014,016,017,019,020,021,023,024,000,9,([AM][BA][DF][PR][RN][RS][SC][SP]),917,26691,287551,1473207,14491171,60723,1000,400,200,000,000,000
,102,05/09/2005,001,002,003,004,007,009,010,011,012,018,019,021,022,023,025,000,5,([BA][PR][RS][SP]),622,20635,267607,1361023,32338357,111409,1000,400,200,000,000,000
,103,12/09/2005,001,002,003,004,005,007,008,010,011,016,017,018,022,023,025,000,5,([MS][RJ][SP]),467,26477,269789,1577960,27601269,126650,1000,400,200,000,000,000
,104,19/09/2005,005,006,007,010,011,013,014,015,016,018,019,021,022,024,025,000,2,([GO][SP]),354,13835,196494,1186254,98253288,237902,1000,400,200,000,000,000
,105,26/09/2005,004,006,007,008,009,010,011,012,013,015,017,019,021,022,025,000,2,([PE][RJ]),425,15988,225268,1278152,85553263,172544,1000,400,200,000,000,000
,106,03/10/2005,001,002,003,004,005,006,010,012,013,014,015,017,022,023,025,000,3,([RJ][SP]),471,22766,286573,1570457,44271000,120849,1000,400,200,000,000,000
,107,10/10/2005,001,003,004,006,007,008,009,011,012,015,017,018,021,024,025,000,1,([SP]),494,16680,215950,1314644,180180758,156317,1000,400,200,000,000,000
,108,17/10/2005,001,002,004,007,008,009,011,012,014,015,016,018,022,023,025,000,8,([AM][MG][RJ][RS][SP]),1094,26164,281728,1425759,15956230,49816,1000,400,200,000,000,000
