,Concurso,Data do Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Trevo1,Trevo2,Ganhadores 6 Números + 2 Trevos,Cidade,Rateio 6 Números + 2 Trevos,Ganhadores 6 Números + 1 ou nenhum Trevo,Rateio 6 Números + 1  ou nenhum Trevo,Ganhadores 5 Números + 2 Trevos,Rateio 5 Números + 2 Trevos,Ganhadores 5 Números + 1 ou nenhum Trevo,Rateio 5 Números + 1 ou nenhum Trevo,Ganhadores 4 Números + 2 Trevos,Rateio 4 Números + 2 Trevos,Ganhadores 4 Números + 1 ou nenhum Trevo,Rateio 4 Números + 1 ou nenhum Trevo,Ganhadores 3 Números + 2 Trevos ,Rateio 3 Números + 2 Trevos ,Ganhadores 3 Números + 1 Trevo,Rateio 3 Números + 1 Trevo,Ganhadores 2 Números + 2 Trevos,Rateio 2 Números + 2 Trevos,Ganhadores 2 Números + 1 Trevo,Rateio 2 Números + 1 Trevo,Acumulado 6 Números + 2 Trevos,Arrecadação Total,Estimativa para o próximo concurso
,1,28/05/2022,001,003,007,015,023,044,002,004,0,(),000,1,39256753,6,5234234,80,392567,227,148231,3501,9611,4725,5000,34159,2400,33671,1200,243056,600,Sim,2070433200,1000000000
,2,04/06/2022,013,016,035,041,042,047,002,006,0,(),000,0,000,1,32748637,20,727748,76,143634,1010,15440,1547,5000,11137,2400,12908,1200,89778,600,Sim,883215000,1000000000
,3,11/06/2022,001,009,017,030,031,044,001,004,0,(),000,0,000,0,000,19,2041025,60,149152,1031,12400,1200,5000,10591,2400,8978,1200,82063,600,Sim,739401000,1000000000
,4,18/06/2022,006,023,025,033,034,047,001,002,0,(),000,0,000,0,000,28,1110846,40,179444,882,11625,854,5000,9146,2400,6508,1200,71386,600,Sim,601617000,1000000000
,5,25/06/2022,006,016,021,024,026,045,002,005,0,(),000,0,000,2,10096513,10,897468,59,162978,580,16578,1055,5000,6995,2400,9061,1200,57626,600,Sim,553084200,1000000000
,6,02/07/2022,001,019,022,032,039,045,001,005,0,(),000,0,000,0,000,11,2609129,45,147182,663,14271,1028,5000,7362,2400,7834,1200,60497,600,Sim,549268200,1000000000
,7,09/07/2022,009,012,035,044,047,048,001,005,0,(),000,0,000,0,000,15,1959268,37,183300,799,12126,1044,5000,8342,2400,7909,1200,63562,600,Sim,569044800,1000000000
,8,16/07/2022,001,004,005,016,038,050,001,003,0,(),000,0,000,1,17534193,11,708452,49,170400,807,10346,929,5000,8915,2400,7292,1200,61817,600,Sim,512455200,1000000000
,9,23/07/2022,006,011,012,014,015,018,003,004,0,(),000,0,000,0,000,30,897013,57,155641,897,9890,1117,5000,7866,2400,8596,1200,61176,600,Sim,532613400,1000000000
,10,30/07/2022,004,006,010,042,047,048,002,005,0,(),000,0,000,1,20347892,12,753626,37,183314,637,15211,1112,5000,7812,2400,9817,1200,64285,600,Sim,573426600,1000000000
