,Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
,1,13/03/1994,025,045,060,076,079,000,3,(),7573122500,127,178892700,7030,4298200,0,000,Não,000,000,000
,2,17/03/1994,013,030,058,063,064,000,1,(),11849939700,105,112856500,4861,3242200,0,000,Não,000,000,000
,3,20/03/1994,005,015,032,033,048,000,1,(),15424427000,232,66484600,10196,2012000,0,000,Não,000,000,000
,4,24/03/1994,027,057,060,061,077,000,1,(),12418524600,78,159211900,4033,4095400,0,000,Não,000,000,000
,5,27/03/1994,019,044,053,054,071,000,1,(),14759571500,137,107734100,5338,3677400,0,000,Não,000,000,000
,6,03/04/1994,004,045,054,065,067,000,1,(),16539787900,157,105349000,7286,3019200,0,000,Não,000,000,000
,7,07/04/1994,009,021,037,042,068,000,2,(),7795604800,153,101903300,5621,3689100,0,000,Não,000,000,000
,8,10/04/1994,005,016,026,028,062,000,0,(),000,178,120814000,8290,3450100,0,000,Sim,000,000,000
,9,14/04/1994,004,015,044,064,073,000,0,(),000,160,148621700,7584,4170100,0,000,Sim,000,000,000
,10,17/04/1994,020,032,049,054,062,000,0,(),000,117,241436100,6089,6170100,0,000,Sim,000,000,000
,11,24/04/1994,017,033,052,060,076,000,3,(),41731285800,265,194948900,12691,5414000,0,000,Não,000,000,000
,12,28/04/1994,001,028,056,065,079,000,1,(),18466945900,139,132855700,5837,4207800,0,000,Não,000,000,000
,13,01/05/1994,013,033,038,039,072,000,0,(),000,115,200601800,7233,4241900,0,000,Sim,000,000,000
,14,05/05/1994,044,052,060,064,068,000,1,(),52512401500,106,277765900,4708,8317600,0,000,Não,000,000,000
,15,08/05/1994,002,025,054,063,066,000,1,(),27731945700,98,282979000,5358,6883800,0,000,Não,000,000,000
,16,12/05/1994,011,024,063,064,069,000,2,(),11052873800,109,202805000,4883,6021000,0,000,Não,000,000,000
,17,15/05/1994,001,014,026,034,072,000,2,(),13385723900,104,257417800,5667,6283100,0,000,Não,000,000,000
,18,19/05/1994,006,029,040,063,072,000,1,(),21264315300,53,401213500,3028,9340000,0,000,Não,000,000,000
,19,22/05/1994,012,021,042,060,066,000,1,(),25135705100,79,318173500,4768,7011400,0,000,Não,000,000,000
,20,26/05/1994,013,016,031,039,070,000,1,(),21383357000,110,194394200,4906,5796900,0,000,Não,000,000,000
,21,29/05/1994,005,015,038,048,077,000,0,(),000,175,145426900,7632,4435100,0,000,Sim,000,000,000
,22,05/06/1994,007,009,011,025,075,000,4,(),17409358100,458,96479800,17646,3330500,0,000,Não,000,000,000
,23,09/06/1994,001,015,063,072,077,000,0,(),000,102,285183100,4288,9022300,0,000,Sim,000,000,000
,24,12/06/1994,009,044,057,067,068,000,0,(),000,85,474621300,5511,9736200,0,000,Sim,000,000,000
,25,16/06/1994,002,029,046,069,076,000,2,(),57921595700,174,266734000,7175,8603100,0,000,Não,000,000,000
,26,19/06/1994,010,015,022,055,079,000,1,(),36763087200,186,197651000,7670,6374800,0,000,Não,000,000,000
,27,23/06/1994,005,036,039,070,078,000,0,(),000,76,367914800,3663,10152500,0,000,Sim,000,000,000
,28,26/06/1994,008,026,028,029,030,000,2,(),31728364600,318,111620100,7677,6149400,0,000,Não,000,000,000
,29,03/07/1994,020,023,031,035,076,000,0,(),000,87,170279,4456,4422,0,000,Sim,000,000,000
,30,07/07/1994,012,013,014,056,060,000,1,(),27136673,190,64855,6909,2373,0,000,Não,000,000,000
,31,10/07/1994,043,051,054,069,073,000,1,(),14070731,96,146570,4004,4675,0,000,Não,000,000,000
,32,14/07/1994,009,023,031,060,080,000,0,(),000,106,108792,5217,2940,0,000,Sim,000,000,000
,33,18/07/1994,021,031,044,065,074,000,0,(),000,58,273259,3743,5632,0,000,Sim,000,000,000
,34,21/07/1994,017,045,064,067,069,000,0,(),000,172,90840,7558,2750,0,000,Sim,000,000,000
,35,24/07/1994,044,052,054,056,060,000,2,(),32276741,278,77511,7007,4090,0,000,Não,000,000,000
,36,28/07/1994,042,056,062,065,079,000,0,(),000,136,101784,5188,3550,0,000,Sim,000,000,000
