,Concurso,Data Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Coluna7,Valor Arrecadado,Ganhadores_7_Números,Cidade,Ganhadores_6_Números,Ganhadores_5_Números,Ganhadores_4_Números,Ganhadores_3_Números,Valor_Rateio_7_Números,Valor_Rateio_6_Números,Valor_Rateio_5_Números,Valor_Rateio_4_Números,Valor_Rateio_3_Números,Valor_Acumulado,Estimativa_Premio
,1,02/10/2020,002,009,009,008,007,007,006,493414500,0,(),12,272,4330,41129,000,1691644,106616,6697,500,74433469,110000000
,2,05/10/2020,008,008,001,005,006,007,007,219863000,0,(),4,157,2308,21215,000,2223457,80926,5504,500,107045792,140000000
,3,07/10/2020,007,002,006,006,005,004,004,242707000,1,([SALVADOR][BA]),5,227,2642,23324,143063883,1964581,61818,5311,500,000,30000000
,4,09/10/2020,005,007,008,001,008,002,005,221739750,0,(),2,139,2031,18493,000,4561079,93752,6416,500,33448524,70000000
,5,14/10/2020,006,004,000,001,000,006,009,273087500,0,(),7,132,2288,22005,000,1610714,122023,7039,500,74791595,120000000
,6,16/10/2020,005,007,003,003,004,001,001,225442750,0,(),6,181,2303,20941,000,1527032,72314,5683,500,108386913,150000000
,7,19/10/2020,000,007,007,006,004,004,009,210659500,0,(),10,164,2254,21719,000,844844,73592,5354,500,139365545,175000000
,8,21/10/2020,007,000,009,002,000,002,005,218581000,0,(),2,99,1661,16179,000,4549932,131311,7826,500,172732294,210000000
,9,23/10/2020,008,006,002,000,002,006,007,237195500,0,(),5,132,2151,19665,000,1952827,105672,6484,500,208535334,250000000
,10,26/10/2020,008,009,009,002,009,006,005,222774250,0,(),1,88,1722,18476,000,9170137,148865,7607,500,242159882,280000000
,11,28/10/2020,006,000,007,005,006,000,009,219666750,0,(),3,102,2036,19284,000,2995424,125858,6305,500,275109940,320000000
,12,30/10/2020,003,000,003,002,008,009,000,234721750,0,(),1,159,2167,20672,000,9598667,86241,6327,500,310306339,360000000
,13,04/11/2020,003,009,009,007,004,006,000,300665250,0,(),8,222,2987,28292,000,1525025,78508,5834,500,355042355,400000000
,14,06/11/2020,007,004,000,009,004,007,004,248401750,0,(),4,120,2096,20458,000,2558146,121816,6974,500,392562189,440000000
,15,09/11/2020,003,006,008,001,007,009,009,252824750,0,(),7,237,2938,24803,000,1457970,61517,4962,500,429984501,480000000
,16,11/11/2020,005,007,002,006,009,004,004,259712750,0,(),11,183,2724,24580,000,957366,82209,5522,500,468599992,510000000
,17,13/11/2020,003,008,002,003,005,008,006,281234500,0,(),4,211,2883,26444,000,2853196,77270,5655,500,510447285,550000000
,18,16/11/2020,003,008,002,004,008,006,008,252021000,0,(),7,228,2762,25160,000,1450067,63599,5250,500,547665844,600000000
,19,18/11/2020,000,000,000,001,004,003,003,247624750,1,([MINACU][GO]),4,172,2326,21812,584795350,2531532,84104,6219,500,000,35000000
,20,20/11/2020,004,009,003,009,008,001,003,133967500,0,(),0,60,989,10053,000,000,132621,8045,500,25994253,50000000
,21,23/11/2020,007,008,007,009,009,008,008,131716250,0,(),4,100,1316,11435,000,1348765,77072,5856,500,45776654,80000000
,22,25/11/2020,008,002,001,001,008,009,004,139940750,0,(),2,73,1148,11825,000,2874471,112503,7153,500,66856930,90000000
,23,27/11/2020,000,007,005,005,004,007,000,145273750,0,(),1,89,1559,15123,000,5818540,93395,5331,500,88192431,120000000
,24,30/11/2020,006,009,005,009,002,001,005,146351750,0,(),2,67,1164,11642,000,3025181,129005,7425,500,110377584,150000000
,25,02/12/2020,008,004,008,009,005,000,008,150041500,0,(),2,63,1221,12022,000,3099180,140552,7252,500,133104991,160000000
,26,04/12/2020,009,005,002,001,005,009,000,156154750,0,(),2,82,1387,13751,000,3192923,111251,6577,500,156520038,180000000
,27,07/12/2020,007,009,008,006,001,001,006,147454250,0,(),2,77,1178,11495,000,3054131,113325,7407,500,178917490,200000000
,28,09/12/2020,003,003,004,006,009,006,003,147208250,0,(),4,86,1587,14420,000,1485876,98729,5350,500,200710531,230000000
,29,11/12/2020,005,000,007,002,009,009,000,159820500,1,([SANTA BARBARA D'OESTE][SP]),8,108,1801,14862,224523782,811797,85904,5151,500,000,25000000
,30,14/12/2020,002,001,001,006,008,006,007,110799750,0,(),5,85,1164,11089,000,892231,74977,5475,500,16357720,40000000
,31,16/12/2020,004,001,005,005,003,005,006,105722500,0,(),4,68,1033,10164,000,1069654,89886,5917,500,32046043,50000000
,32,18/12/2020,006,002,009,000,009,007,008,104348250,1,([BAMBUI][MG]),0,60,938,8975,47733924,000,101868,6516,500,4278484,20000000
,33,21/12/2020,001,008,003,006,002,002,002,94667750,0,(),2,71,1046,9189,000,1913308,76994,5226,500,18309567,40000000
,34,23/12/2020,004,001,000,005,002,003,006,97029500,0,(),3,68,1056,8363,000,1325828,83560,5380,500,32894285,45000000
,35,26/12/2020,004,004,007,006,000,004,002,73013750,0,(),2,41,623,6230,000,1498164,104401,6870,500,43881164,50000000
