,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time_Coração,Valor Arrecadado,Ganhadores_7_Números,Cidade,Ganhadores_6_Números,Ganhadores_5_Números,Ganhadores_4_Números,Ganhadores_3_Números,Ganhadores_Time_Coração,Valor_Rateio_7_Números,Valor_Rateio_6_Números,Valor_Rateio_5_Números,Valor_Rateio_4_Números,Valor_Rateio_3_Números,Valor_Time_Coração,Valor_Acumulado,Estimativa_Premio
,1,01/03/2008,024,031,051,057,063,071,080,PALMAS/TO,000,0,(),6,328,6032,60403,13122,000,5990990,73061,600,200,200,47927920,100000000
,2,08/03/2008,018,020,025,031,050,063,077,SÃO PAULO/SP,000,0,(),10,316,5882,58525,104390,000,2809791,59279,600,200,200,85391798,120000000
,3,15/03/2008,009,021,029,036,043,072,074,NÁUTICO/PE,000,0,(),7,339,6107,59464,15486,000,4735451,65188,600,200,200,129589336,150000000
,4,22/03/2008,015,038,054,066,068,070,071,SÃO RAIMUNDO/AM,000,0,(),3,251,4335,41945,8069,000,9137801,72811,600,200,200,207675678,250000000
,5,29/03/2008,015,020,023,024,051,054,058,MIXTO/MT,000,0,(),4,286,6299,62221,11655,000,7107474,66270,600,200,200,245582202,280000000
,6,05/04/2008,001,008,017,055,059,060,080,RIO BRANCO/AC,000,0,(),13,485,8170,73407,7956,000,2491739,44526,600,200,200,288772354,320000000
,7,13/04/2008,015,018,029,037,042,055,077,UBERLÂNDIA/MG,000,0,(),11,520,8025,68820,9684,000,2696779,38031,600,200,200,328325112,350000000
,8,20/04/2008,048,050,061,071,074,075,076,ATLÉTICO/MG,000,0,(),4,160,3535,37706,41652,000,7289770,121496,600,200,200,367203887,400000000
,9,27/04/2008,005,024,037,056,058,069,078,PALMAS/TO,000,0,(),10,365,6786,60068,10484,000,2787595,50915,600,200,200,453545860,500000000
,10,04/05/2008,001,014,023,037,053,059,074,JI-PARANÁ / RO,000,0,(),7,329,5926,57026,13880,000,4055659,57527,600,200,200,491398678,530000000
,12,17/05/2008,002,013,015,024,039,056,073,AMÉRICA/RN,000,0,(),14,484,8180,72164,8344,000,1987809,38332,600,200,200,568461913,600000000
,13,24/05/2008,006,028,032,037,073,075,079,U BARBARENSE,325084000,0,(),11,307,5541,53928,5895,000,2562944,61221,600,200,200,606051756,650000000
,14,31/05/2008,015,019,032,051,057,060,068,BRASILIENSE/DF,000,0,(),7,319,6465,63078,14132,000,4494950,65757,600,200,200,696619319,750000000
,15,08/06/2008,003,009,020,021,025,058,064,VILA NOVA/GO,000,0,(),15,518,8328,70267,13094,000,2136489,41245,600,200,200,739349089,780000000
,16,15/06/2008,005,038,042,052,055,057,059,FORTALEZA/CE,000,1,([BA]),5,389,8245,72098,26605,781810856,6369265,54578,600,200,200,000,50000000
,17,22/06/2008,010,012,020,023,030,050,053,FIGUEIRENSE/SC,000,0,(),10,256,4344,38401,8187,000,1815520,47279,600,200,200,24206938,50000000
,18,29/06/2008,009,015,026,033,054,063,070,PORT DESPORT,205022400,0,(),5,187,3825,37173,7782,000,3487021,62158,600,200,200,47453742,70000000
,19,06/07/2008,026,038,044,049,055,060,075,CSA/AL,000,0,(),3,176,3482,36198,6181,000,6591972,74909,600,200,200,113574923,150000000
,20,13/07/2008,019,028,037,039,053,064,073,FIGUEIRENSE/SC,000,0,(),14,455,4248,41695,10277,000,1480384,30367,600,200,200,141208758,180000000
,21,20/07/2008,001,015,046,059,065,075,080,FLUMINENSE/RJ,000,0,(),7,268,4605,43044,33615,000,2769164,48219,600,200,200,167054291,190000000
,22,27/07/2008,004,007,021,052,055,060,078,LONDRINA/PR,000,0,(),4,218,4156,39273,10896,000,4916499,60141,600,200,200,193275617,220000000
,23,03/08/2008,012,016,017,020,023,060,062,GAMA/DF,000,0,(),6,216,4526,43109,8991,000,3564945,66017,600,200,200,221795175,250000000
,24,10/08/2008,004,059,061,062,072,078,080,PARANÁ/PR,000,0,(),0,129,2806,32715,8860,000,000,117000,600,200,200,309222180,350000000
,25,17/08/2008,004,023,044,047,049,051,075,YPIRANGA/AP,000,0,(),9,306,5195,46019,7188,000,2322449,45538,600,200,200,337091569,370000000
,26,24/08/2008,007,014,022,048,054,070,074,ATLÉTICO/MG,000,0,(),5,282,4542,41896,28214,000,4070895,48119,600,200,200,364230867,390000000
,27,31/08/2008,004,008,020,031,048,054,055,GRÊMIO/RS,000,0,(),6,281,5274,47572,55898,000,3152018,44868,600,200,200,389447011,420000000
,28,07/09/2008,015,024,026,055,066,072,078,SANTOS/SP,000,0,(),5,205,4591,47303,50327,000,4125483,67081,600,200,200,416950230,450000000
,29,14/09/2008,004,008,025,034,049,052,068,RIO BRANCO/AC,000,1,([SP]),16,357,6048,53122,5285,447971111,1454104,43447,600,200,200,000,60000000
,30,21/09/2008,001,009,019,020,033,044,069,AMÉRICA/RN,000,0,(),4,267,4781,38419,4552,000,3676530,36720,600,200,200,54295398,80000000
,31,28/09/2008,001,012,046,052,063,070,074,BAHIA/BA,000,0,(),7,108,2241,24748,21102,000,2114621,91373,600,200,200,74031856,90000000
,32,05/10/2008,002,019,023,025,041,045,054,VITÓRIA/BA,000,0,(),3,233,4445,38293,15199,000,4791591,41130,600,200,200,93198221,120000000
,33,11/10/2008,013,029,030,035,062,078,079,SÃO RAIMUNDO/AM,000,0,(),3,110,2759,28339,4560,000,5220090,94911,600,200,200,114078580,130000000
,35,26/10/2008,016,020,025,050,070,075,077,FORTALEZA/CE,000,1,([BA]),4,168,2911,26304,11831,177425689,3687164,58527,600,200,200,000,30000000
,36,01/11/2008,010,020,042,054,058,059,072,MIXTO/MT,000,0,(),2,115,2494,25855,4762,000,6350659,73631,600,200,200,16935090,30000000
,37,09/11/2008,006,008,012,019,037,051,055,SÃO RAIMUNDO/AM,000,0,(),10,353,4982,39222,3890,000,1269252,23971,600,200,200,33858455,50000000
,38,16/11/2008,008,021,030,035,049,069,071,GOIÁS/GO,000,0,(),0,80,1668,17594,7990,000,000,86504,600,200,200,58079412,70000000
,39,23/11/2008,013,028,031,041,052,061,080,RIO BRANCO/ES,000,0,(),2,113,2070,22229,2983,000,6567750,77495,600,200,200,96812887,120000000
,40,30/11/2008,009,035,036,045,054,064,076,FIGUEIRENSE/SC,000,0,(),2,122,2559,25607,6588,000,6647169,72646,600,200,200,114538670,140000000
,41,07/12/2008,019,025,037,042,063,075,079,BANGU/RJ,000,0,(),2,260,4049,33465,5873,000,6963374,35710,600,200,200,133107665,150000000
,42,14/12/2008,008,019,041,047,050,071,078,BARUERI/SP,000,0,(),1,120,2612,27004,4485,000,14040267,78001,600,200,200,151828020,170000000
,43,21/12/2008,010,023,042,052,060,066,073,FLAMENGO/RJ,000,0,(),4,106,2679,26335,64190,000,3057017,76906,600,200,200,168132111,180000000
,44,28/12/2008,020,021,027,030,064,066,076,SANTOS/SP,000,0,(),1,50,1607,18741,27787,000,12063693,160849,600,200,200,206068076,220000000
,45,04/01/2009,020,026,028,034,055,071,076,SPORT/PE,000,0,(),3,141,2268,23657,10305,000,4300936,61006,600,200,200,223271821,240000000
,46,10/01/2009,008,016,036,057,060,069,075,UBERLÂNDIA/MG,000,0,(),5,156,2849,27907,5013,000,2914914,62284,600,200,200,242704581,260000000
,47,18/01/2009,025,027,029,046,064,073,079,XV PIRACICABA,159386800,0,(),4,150,2971,27091,3429,000,3435145,61069,600,200,200,261025353,270000000
,48,24/01/2009,016,020,033,052,059,065,080,ATLÉTICO/MG,000,0,(),7,161,2884,27508,21033,000,1897258,54993,600,200,200,278733096,300000000
,49,01/02/2009,012,017,020,027,036,038,069,CEARÁ/CE,000,0,(),2,130,2805,28834,11083,000,6791071,69652,600,200,200,319536259,340000000
,51,15/02/2009,015,027,028,030,043,052,067,MARÍLIA/SP,000,0,(),4,148,3041,31258,6651,000,3954512,71253,600,200,200,360245633,380000000
,52,22/02/2009,001,029,038,042,053,055,071,RIO BRANCO/ES,000,0,(),4,164,3223,31547,4312,000,3818458,62089,600,200,200,380610744,400000000
